REFCODES,HOMO-LUMO GAP,SMILES
CEQMAM,1.7015,N1C2=C3C=CC(=N3)C(=C3NC(=C(C4=CC=C(O4)C(=C1C=C2)c1ccccc1)c1ccccc1)C=C3)c1ccccc1
CERNOD,3.095,COC(=O)C1=C2N(C=Cc3ccccc23)C=C1
CEVMEW,3.0043,OC=C1C(=O)Cc2ccccc2c2ccccc12
CEWDOY,4.4159,CC1(C)CC(CC(C)(CNC(=O)OCc2ccccc2)C1)NC(=O)OCc1ccccc1
CEWWOR,3.3907,ClC1CC(OC(C1)c1ccc(Cl)cc1)c1ccc(Cl)cc1
CEYGIX,4.2547,CC(NC1CCC=CCCC1O)c1ccccc1
CEYWOS,2.7391,Clc1ccc(cc1)C(=O)c1ccncc1
CEZPON,3.7514,CC(C(O)c1c(C)cc(C)cc1C)C(=O)C(C)(C)C
CHLQUI10,3.4315,Clc1ccc2ccccc2n1
CIBWEQ,3.6966,OC1COCCCc2ccccc2C(=O)OCC(O)C(O)C1O
CICDEY,2.148,COC(=O)C1CCCCNCc2c3ccccc3c(CNCCCCC(NCc3c4ccccc4c(CN1)c1ccccc31)C(=O)OC)c1ccccc21
CICMAD,2.2335,Oc1ccc(cc1C=NNc1ccccc1)N(=O)=O
CICRIQ,3.7781,COC(=O)C12CCC(C1C1CCC3C(C)(CCC#N)C(CCC3(C)C1(C)CC2)C(C)=O)C(C)=O
CIFLOT,3.2358,COc1ccc(C=CC2CN(C(=O)N2C(C)(C)C)C(C)(C)C)cc1
CIHNIS,2.1546,Brc1ccc(cc1)C1=C2C=CC=C2C(=NN1)c1ccc(Br)cc1
CIKSIZ,1.4513,O=C1N(CCc2ccncc2)C(=O)c2ccc3C(=O)N(CCc4ccncc4)C(=O)c4ccc1c2c34
CIKVIC,4.1736,COC(=O)C12COC(N1C(=O)C(CC=C)C2(C)O)C(C)(C)C
CILZUS01,2.5762,COc1cc2Cc3cc(OC)c(OC)cc3C(=O)c3cc(OC)c(OC)cc3Cc2cc1OC
CIRSIH,2.6273,Brc1ccc(cc1)C1OC(=Cc2ccccc12)c1ccccc1
CISKOF,4.7805,CC1C2CCC(=CC(O)CC3(C)OC3C2OC1=O)C
CITNIN03,2.6606,CC1OC=C2C(=C(C(O)=O)C(=O)C(=C2C1C)C)O
CITPIF,1.9953,CCC1=C(C)C(OC1=O)=CC1=C(C)C(=C(N1)C(=O)OC(C)(C)C)CCC(=O)OC
CIVZUD,2.5151,CC(C)(C)c1cc(Cc2ccccn2)c(O)c(c1)C(C)(C)C
CIWMOL,3.1531,O=C(OCc1ccccc1)N1C=NC(=N1)N(=O)=O
CIXJOJ,2.8066,N#Cc1c2CSCc3cccc(CSCc1ccc2)c3C#N
CIXJUP,2.0582,N#CC12C3=CC=C4C=CC=C(C=CC1=CC=C3)C24C#N
CIXZOZ,3.4017,CN1CC2(CO)OC(C(O1)C2O)N1C=C(C)C(=O)NC1=O
CIYDUK,4.4509,C1CC#CCCOCc2ccc(COCCC#CCCOCc3ccc(CO1)cc3)cc2
CIYFAS,4.4564,C1CC#CCCOCc2cccc(CO1)c2
CIYRAF,2.3934,Cc1cc(C)cc(c1)c1cccc(c1I)c1cc(C)cc(C)c1
CIYXUF,1.4878,FC(F)(F)c1ccc(cc1)c1c2ccccc2c(c2ccccc2)c2c(c3ccc(cc3)C(F)(F)F)c3ccccc3c(c3ccccc3)c12
CIZCOE,0.9508,CCCCCC#Cc1c2cc3ccccc3cc2c(C#CCCCCC)c2cc3ccccc3cc12
CIZQAE,1.6968,CCOC(=O)C1=C(C)N(C=CC1c1ccccc1N(=O)=O)c1ccccc1
CIZQUY,2.3318,COc1ccc(cc1)c1nc(c(OC)nc1c1ccc2ccccc2c1)c1ccc(C)c(C)c1
CIZZIV,2.9089,O=C1CCC2(CCCC32CCCC3)C2=C1CCC12CCCC1
CIZZUH,1.877,O=C1CCC2(CCCC32CCCC3)C21C(CCC12CCCC1)OC(=O)c1ccc(cc1)N(=O)=O
CLANIC05,3.6776,Nc1ccc(Cl)cc1
CLBZAC02,3.7405,OC(=O)c1ccccc1Cl
CLBZAP03,3.8815,OC(=O)c1ccc(Cl)cc1
CLBZAP10,3.8814,OC(=O)c1ccc(Cl)cc1
COBDAA,2.1368,Fc1ccc(cc1)C1=CC=C(S1)C1=CC=C(S1)c1ccc(F)cc1
COBPUF,2.7243,CN1c2ccccc2N(C)C1=C=C1N(C)c2ccccc2N1C
COBQIU,2.4878,CCOC(=O)C=C1C=CC=CN1C
CODBON,2.6962,N#Cc1c2CSCc3cccc(CSCc1ccc2)c3C#N
COFHEM,2.4185,Fc1c(F)c(F)c2c(ccc(C=O)c2c2cccc3ccccc23)c1F
COGBIL,1.3627,Clc1ccc(cc1)c1c2ccc(Cl)cc2c(C#N)c2c(c3ccc(Cl)cc3)c3ccc(Cl)cc3c(C#N)c12
COHPEW,3.3549,Fc1c(I)c(F)c(C#CC23CCC(CC2)(CC3)C#Cc2c(F)c(I)c(F)c(I)c2F)c(F)c1I
COJFIR,4.5095,CNC(=O)C(CC(C)C)NC(=O)CNC(=O)C1CCCCC1C(=O)NC(C(C)C)C(=O)NC
COJGAK,3.981,O=C1OCCN1C1=C(N=NN1Cc1ccccc1)c1ccccc1
COMWOQ04,3.2606,O=CC1=CNc2ccccc12
COPHEW,2.0192,CC1C(c2ccccc2)C(C)(O)CCC2CCCC(Cc3ccccc3)C12O
COSLUS,2.6465,O=C1OC(=NC2CCCCC2)C2=C1C1(CCCCCC1)C(=NC1CCCCC1)C(O2)=NC1CCCCC1
COTHAW,3.252,Brc1ccc2N3CCOC4CCC(=O)C(=C34)c2c1
COTHEA,3.2197,Brc1ccc2N3CCOC4CCCC(=O)C(=C34)c2c1
COTHIE,2.3934,Brc1ccc2N3CCOC(CCC(=O)C(=O)c2c1)C3=O
COTHOK,2.1929,Brc1ccc2N3CCOC4CCC(=O)C34C(=O)c2c1
COTHUQ,1.9988,O=C1CCC2OCCN3c4ccc(cc4C(=O)C123)N(=O)=O
COTJAY,2.1805,Brc1ccc2N3CCOC4CCCC(=O)C34C(=O)c2c1
COTJEC,2.4366,Brc1ccc2N3CCCC(CCC(=O)C(=O)c2c1)C3=O
COTJOL,2.8794,COc1ccc2C(=O)C(=COc2c1)c1ccc(OCc2ccccc2)cc1OCc1ccccc1
COTJUR,2.4009,COc1ccc(c(O)c1)C(=O)C=Cc1ccc(OCc2ccccc2)cc1OCc1ccccc1
COUMAR11,3.1344,O=C1Oc2ccccc2C=C1
COVJIG01,3.8842,OC(=O)c1cccc(F)c1
COZLAF,2.3325,CCCCCCCCCCCCCCOc1ccc(cc1)N=N([O])c1ccc(OCCCCCCCCCCCCCC)cc1
CTMTNA03,3.9496,O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O
CUBNOD,2.8042,O=Cc1cc2CCCN3CCCc(c1)c23
CUBNUJ,2.2909,O=CC=Cc1cc2CCCN3CCCc(c1)c23
CUCBIM,3.624,CC(C)(C)C1ON(C2CCCCC2)C2C1CN1c3ccccc3N=C21
CUCBOS,3.8286,C1CCC(CC1)N1OCC2CN3C(=Nc4ccccc34)C12
CUCBUY,3.707,C1CCC(CC1)N1OC2CC1C1=Nc3ccccc3N1C2
CUCCAF,2.6214,CC(C)(C)C#CCN1C(=Nc2ccccc12)C=[N+]([O-])C1CCCCC1
CUCCEJ,3.3635,CC12CC(N(O1)C1CCCCC1)C1=Nc3ccccc3N1C2
CUCVAY,2.6007,CC(C)c1cc2C(=O)C(=C3C(C)(C)CCCC3(C)c2c(O)c1O)O
CUCVAY01,2.6005,CC(C)c1cc2C(=O)C(=C3C(C)(C)CCCC3(C)c2c(O)c1O)O
CUFSAY,4.5369,CC1(C)C2(C)CCC1(OC2=O)C(=O)OCC1CCCCO1
CUFYIL01,6.0031,CC1(C)OCC(O1)C1OC(O)C2OC(C)(C)OC12
CUGBEM,1.6744,CC(C)[N+]1=NOC(=C1C=C(C#N)C#N)[N-]C(=O)c1ccccc1
CUGCEN,3.5704,C1CCC(CC1)(OOC1(CCCCC1)N1CCOCC1)N1CCOCC1
CUKDET,4.1752,Cc1c(Br)c(C)c(c(C)c1Br)c1cccc(c1I)c1c(C)c(Br)c(C)c(Br)c1C
CUKDUI,2.4635,CC1(C)OC2(Oc3c(ccc(O)c3C=O)C=C2)c2ccccc12
CUKREG,4.4072,CC(=O)N(CC=C)CC(O)(CO)CO
CUKRIK,4.6462,CC(=O)N(CC#C)CC(O)(CO)CO
CUMLEC,2.209,CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)c5ccccc5OC134)C2=O
CUMLIG,2.6798,CC(C)=CCC12OC(C)(C)C3CC(C=C4C(=O)OC(C)(C)OC134)C2=O
CUMLOM,2.6803,CC(C)=CCC12OC(C)(C)C3CC4(OC(C)(C)OC(=O)C4=CC13)C2=O
CUMMED,2.286,CC(C)=CCC12OC(C)(C)C3CC(C(C4C(=O)c5ccccc5OC134)N1CCCCC1)C2=O
CUMPIK,3.1847,COc1cc(OCCCCCOc2cc(OC)cc(c2)C(O)=O)cc(c1)C(O)=O
CUMPOQ,3.202,OC(=O)c1cc(OCCCCCOc2cc(OCc3ccccc3)cc(c2)C(O)=O)cc(OCc2ccccc2)c1
CUMYUF,3.0907,CC(=O)CC(C(=O)NC(C)(C)C)=C1CCC(=O)N1
CUNKOM,2.3037,Cc1ccccc1Nc1ncccc1C(O)=O
CUQJOO,4.5338,CC1CCC2(O)C=CC(O)CC2O1
CURDUP,3.6154,O=C(NCc1ccccc1)C1C2CCCC2CN1C(=O)c1ccccc1
CURMIM,1.5611,CC1OC2CC(C)(Nc3c2ccc2C(=O)C4=C(C=Cc5cc(C)ccc45)C(=O)c32)C1O
CURPUC,2.5119,Brc1cccc2C(=O)C(=COc12)C=O
CURQEM,3.901,OC1CCCCC1Oc1ccc(Br)cc1
CURQUC,2.699,OC1CCC(C#N)(C#N)C(C1N(=O)=O)c1ccc(Cl)cc1
CUTCUQ01,2.4924,CN1c2ccccc2C(C)(C)C21Oc1ccc3ccccc3c1C=C2
CUTZOH,3.4576,FC(F)(F)c1ccc2C3C=CC4COCC4C3C(Nc2c1)c1ccccc1
CUVLUB,3.0902,c1ccc(nc1)C1=NN=C(N1c1ccncc1)c1ccccn1
CUXSIY,2.1203,CC(=O)N1C(Cc2ccccc2)C(=O)NC(=CC2=CN(C(=O)OC(C)(C)C)c3cccc(c23)N(=O)=O)C1=O
CUYZUT,1.4921,CN1N=C(C(c2ccc(Br)cc2)C2=C1c1ccccc1C(=O)C2=O)c1ccc(Br)cc1
DABCOA,3.1379,N#Cc1ccc(CN2C=CC(=N2)c2ccccn2)cc1
DABCUG,2.7599,N#Cc1ccc(CN2C=CC(=N2)c2ccccn2)c2ccccc12
DABKOI,2.5,CC1=CC(=O)N2C(=[N+](N=C2[N-]1)c1ccccc1)N
DABPED,3.1536,COc1cccc(c1)C(=O)N1CCCN(C1=C)C(=O)c1cccc(OC)c1
DABZIR,3.1727,COC(=O)C(N1C(C(=O)NC(C)(C)C)c2ccccc2c2ccccc2C1=O)c1ccccc1
DACVIO,4.3522,CCOC(=O)C1C(NC(=O)OCc2ccccc2)C(=CC(C(C)C)C1C(=O)OCC)C(C)C
DACVOU,4.7968,CCOC(=O)C1C(NC(=O)OCc2ccccc2)C(=CC(C(C)C)C1C(=O)OCC)C(C)C
DACVUA,3.6949,COC(=O)c1c(NC(C)=O)c(cc(C(C)C)c1C(=O)OC)C(C)C
DACWAH,3.2807,COC(=O)c1c(NC(=O)c2ccccc2)c(cc(C(C)C)c1C(=O)OC)c1ccccc1
DACWEL,3.6264,CN1C(=O)C2CC=C(C)C(NC(C)=O)C2C1=O
DADZIS,3.9954,OC1(C#C)c2cccc(Cl)c2C(O)(C#C)c2c(Cl)cccc12
DADZOY,2.5578,OC1(C#C)c2cccc(Cl)c2C(=O)c2cccc(Cl)c12
DADZUE,3.9144,OC1(C#C)c2ccccc2C(O)(C#C)c2c(Cl)ccc(Cl)c12
DAFKUR,2.4225,CC1(C)Cc2ccc(CC(C)(C)C(=O)C(O)(O)C(=O)C(=O)C(C)(C)Cc3ccc(CC(C)(C)C(=O)C(O)(O)C(=O)C1=O)cc3)cc2
DAFLIH,2.3935,CCOC(=O)C1=Cc2cc(OC)c(OC)cc2c2cc(OC)c(OC)cc2C1
DAGCIZ,3.3704,C1CCC(N=Cc2ccccn2)C(C1)N=Cc1ccccn1
DAGNEG,3.6799,CCOC(=O)CC(=O)CC(O)(c1ccccc1)c1ccccc1
DAJDUP,2.1471,C1CCc2nc(ccc2C1)N=C1NC(=Nc2ccc3CCCCc3n2)c2ccccc12
DAJLAD,3.2538,COc1ccc(cc1)C1C(C)C(Nc2ccccc12)c1ccccc1
DAKCIC,2.5403,CCOC(=O)C1=Nc2ccc(cc2N1O)N(=O)=O
DAKNIN,2.7069,CC1CCC(C(C)C)C(C1)OC(=O)OCC1CC1C1CC1COC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
DAKYIY,3.2453,COc1ccc(CC2(O)N(C)C(=O)c3ccccc23)cc1
DALLAD,4.8518,CC1CC(O)C2(O)C(C)(CO)C(C)(O)C3CC12CC(=O)O3
DALTUG,2.0096,ON=C1c2c3ccccc3ccc2c2ccc3ccccc3c12
DAMPEO,2.2698,Cc1ccc(Nc2ncccc2C(O)=O)cc1
DANFUV,2.6659,CON1C(=O)c2ccccc2C1=CC(=O)NC(C)C
DANYIB,2.6548,Brc1ccc2ccc3Sc4ccc5ccc(Br)cc5c4c3c2c1
DANYOH,1.4934,CCC1=C(CC)C(=O)c2c(ccc3ccc4Oc5ccc6ccc(Br)cc6c5c4c23)C1=O
DANYUN,1.5812,CCC1=C(CC)C(=O)c2c(ccc3ccc4Sc5ccc6ccc(Br)cc6c5c4c23)C1=O
DANZEY,1.5401,Brc1ccc2ccc3Sc4ccc5ccc6C(=O)C=C(C(=O)c6c5c4c3c2c1)c1ccccc1
DATCEH,3.7034,COc1ccc2CC3C4C=CC(OC(C)=O)C5Oc1c2C45CCN3C
DAYFAL,5.2916,COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
DAYLOF,3.2064,CN(C)C(=O)N(C(=O)c1ccccc1)C(=O)c1ccccc1
DAZGEQ01,4.477,COC(=O)C1COC(=O)CCC=CCCC(=O)N1
DAZWEH,3.8238,COC12CCC3(C)C(CCC45CC(CCC34)C(O)(CO)C5)C1=CC(=O)O2
DAZWIL,3.7593,COC1(CO)CC23CCC4C5=CC(=O)OC5CCC4(C)C2CCC1C3
DBANTH12,2.0351,Brc1c2ccccc2c(Br)c2ccccc12
DCACNP01,2.9285,Clc1ccc2CCc3ccc(Cl)c1c23
DCHLAN01,3.8099,Nc1cc(Cl)ccc1Cl
DCLBEN03,4.2395,Clc1ccc(Cl)cc1
DEBHEX01,3.0307,CNC(=O)C(NC(C)=O)=Cc1ccccc1
DECFDP02,4.0065,Fc1c(F)c(F)c(c(F)c1F)c1c(F)c(F)c(F)c(F)c1F
DEDNEF01,4.8399,CC1(C)OC(=O)CC(=O)O1
DEFQIP,2.1991,CCOC(=O)C1=CN=C(C(=O)N1)c1ccccc1
DEFQIP01,2.199,CCOC(=O)C1=CN=C(C(=O)N1)c1ccccc1
DEFZIY01,2.2586,COc1cc(C=CC(=O)c2ccccc2)cc(OC)c1OC
DEGLAD,4.0406,COc1ccc2CCC3C(C)(CCCC3(C)c2c1)C(=O)N1CCCC1
DEJTAP,2.4982,Brc1ccc(cc1)C1CC(=O)CCC1N(=O)=O
DEJTET,2.8041,Brc1ccc(cc1)C1CC(=O)CCC1N(=O)=O
DEKYEX01,5.2505,OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
DEKYIC01,2.9952,COc1cc(O)c(cc1N(=O)=O)C(C)=O
DELCUT,2.5347,O=C1c2ccccc2C2OC31CCOCC3=C2
DELSUJ,3.7609,O=C(NCc1ccccn1)C(c1ccccc1)(c1ccccc1)c1ccccc1
DELVEW,3.2377,COc1ccc(CN2C=C(C=O)c3ccccc23)cc1
DENSOL01,3.75,CC=C(c1ccc(O)cc1)C(=CC)c1ccc(O)cc1
DERZAC,3.0759,Nc1ccc(cc1)N1CCOCC1
DESNUK,2.7043,Nc1c(C#N)c(cc(c1C#N)C(F)(F)F)c1ccccc1
DETLIY,1.8925,COc1ccc(cc1)N=Nc1ccc(cc1)C(C1=CC=CN1)C1=CC=CN1
DEVCOW03,4.9093,CC1(CC(C)(CC(C)(C1)C(O)=O)C(O)=O)C(O)=O
DEVJEU,3.7913,COc1ccccc1C1CC(=NCCNC(CC(=NCCN1)C)c1ccccc1OC)C
DEVQIF,3.8619,CCC(=O)C(C)(C)C(O)C(C)C#C
DEVWOR,2.5434,O=C1NCCc2ccc3c(cccc3N(=O)=O)c12
DEVWUX,2.725,O=C1NCCc2ccc3cccc(c3c12)N(=O)=O
DEXWOU,2.9072,Fc1cc2c3ccccc3ccc2c2ccccc12
DEXWUA,2.8644,Fc1cc2ccccc2c2ccc3ccccc3c12
DEZKOK,3.3297,Cc1cc(C)c(c(C)c1)c1cc(Cl)cc(c1N)c1c(C)cc(C)cc1C
DEZTAE,3.9889,CC(C(O)CC=CC(=O)OC(C)(C)C)C1OC(C)(C)OC1c1ccccc1
DHNAPH17,1.3883,Oc1ccc(O)c2C(=O)C=CC(=O)c12
DIBMEH,5.1022,CC(C)NC(C)=N
DIDGAZ,3.8716,CC(Cc1ccccc1)C(=O)N(Cc1ccccc1)C(C)C(O)c1ccccc1
DIDMAF,3.592,CC(C)(C)c1ccc(cc1)c1ccccc1c1ccc(cc1)C(C)(C)C
DIDMUZ,3.2946,COc1cc(OC)cc(c1)c1ccccc1c1cc(OC)cc(OC)c1
DIDNAG,2.765,COc1cc(OC)c2c(c1)c1ccccc1c1cc(OC)cc(OC)c21
DIDNIO,3.0783,COc1ccccc1c1ccccc1c1cc(ccc1OC)c1ccc(OC)c(c1)c1ccccc1c1ccccc1OC
DIDNOU,2.6756,O=N(=O)c1ccccc1c1ccccc1c1ccccc1N(=O)=O
DIDNUA,2.7817,O=N(=O)c1cccc(c1)c1ccccc1c1cccc(c1)N(=O)=O
DIDPIQ,3.6434,CN(C(=O)N(C)c1cccc(c1)N(C)C(=O)N(C)c1ccccc1)c1ccccc1
DIDPOW,3.7185,CC(C)c1ccccc1N(C)C(=O)N(C)c1cccc(c1)N(C)C(=O)N(C)c1ccccc1C(C)C
DIDQAJ,3.5961,CC(C)c1cccc(c1)N(C)C(=O)N(C)c1cccc(c1)N(C)C(=O)N(C)c1cccc(c1)C(C)C
DIDQEN,3.5631,CCc1cccc(c1)N(C)C(=O)N(C)c1cccc(c1)N(C)C(=O)N(C)c1cccc(CC)c1
DIGDIG01,4.319,OC(=O)CC[NH+](CCC(O)=O)CCC(=O)[O-]
DIGRER,5.5952,CC1CCC2C3CC4CCC(OC(C)(C)C)C4(C)CC3CCC2(O)O1
DIHDOO,1.6013,CCOC(=O)CN1C(=O)C2=C(N(CC(=O)OCC)C(=O)C2=C1c1ccccc1)c1ccccc1
DIHNIS,0.9696,CCC1=C(CC)C2=CC3=NC(=C(c4ccccc4)c4cc(ccn4)C(=C4C=CC(=N4)C=C1N2)c1ccccc1)C=C3
DILJOY,3.3617,CC(=O)Nc1ccc(cc1)C(C1=CC=CN1)C1=CC=CN1
DISKUM,2.9791,CC(C)C1=NN2C=CC=CC2=C1c1ccccn1
DISLAT,2.6208,CC(C)C1=NN2C=CC=CC2=C1C1=NN(Cc2ccccc2)C(=O)CC1
DISLEX,2.3438,CC(C)C1=NN2C=CC=CC2=C1C1=NN(Cc2ccccc2)C(=O)C=C1
DISLOH,2.95,CCCOc1c2Cc3cc4OCc5ccccc5c4c(Cc4cccc(Cc5cc6OCc7ccccc7c6c(Cc1ccc2)c5OCCC)c4OCCC)c3OCCC
DIVGAR,2.1343,CN(C)c1ccc(cc1)C1=C2C=C(c3ccccc3)C3(CC2CO1)C(=O)Oc1ccccc31
DIWHIB,3.5672,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O
DIWHUN,3.9364,O=C1CCCCCCCCCCCCCC1
DIWROS,2.8654,Clc1ccc(cc1)c1ncc(c2ccccc2)c(n1)C#C
DIXRIL01,2.8595,O=C1Cc2cc3CC(=O)Cc4cc(C1)cc(CC(=O)Cc(c2)c3)c4
DIYNEF,3.6638,COc1cccc(OC)c1CN1C(=O)C2(C)CC(C)(CC(C)(C2)C1=O)C(O)=O
DLASPA03,4.2921,[NH3+]C(CC(O)=O)C(=O)[O-]
DNBZPY02,2.6843,O=N(=O)c1ccc(Cc2ccccn2)c(c1)N(=O)=O
DNPHOL02,2.5017,Oc1c(cccc1N(=O)=O)N(=O)=O
DOCCOO,4.0626,COc1ccc(CN2C(O)C(O)CCC2=O)cc1
DOCXIE,1.5245,S1c2ccccc2C2=C1c1cc3cc4ccccc4cc3cc1S2
DOKLUL,2.8298,CC(=O)OC1CC(OC(=O)c2ccc(cc2)N(=O)=O)C(OC(=O)c2ccc(cc2)N(=O)=O)C(OC(C)=O)C1OC(C)=O
DOKPEZ,1.9471,COC(=O)C1=NN(C2CC2)C2(C(=O)OC)C(=C(C(=O)OC)C(=C(C(=O)OC)C12C(=O)OC)C(=O)OC)C(=O)OC
DOKQEA,3.5907,C(CCN1N=NC(=N1)c1ccccn1)CN1C=NN=N1
DONYOV,3.0042,CC(C)(C)c1cc(N2C=CC=N2)c(N)c(c1)N1C=CC=N1
DORLAY,3.989,COc1ccc2CC3CC(C)(C(=O)N3C)c2c1
DORYUF,1.7182,O=C(OCC1C2CC(C=CC=C2)C1=Cc1ccccc1)c1ccc(cc1)N(=O)=O
DOSCEU,2.8591,CC1=CC(=O)C(CC1)C1CCC(=CC1=O)C
DOSDOF,2.9933,CC(=C)C1CC=C(C)C(=O)C1C1CCCCC1=O
DOSDUL,2.8926,CC(=C)C1CC=C(C)C(=O)C1C1CCc2ccccc2C1=O
DOTKAZ,2.3971,Cc1cccc(C)c1N=C(c1cccc(n1)C(=Nc1c(C)cccc1C)C(C)(C)C)C(C)(C)C
DOVDUO,2.3495,COC(=O)c1cc(cc(c1)c1ccc(C=Cc2ccc(cc2)c2cc(cc(c2)C(=O)OC)C(=O)OC)cc1)C(=O)OC
DOWJAB,2.5153,CC(NC(C)=O)c1ccccc1N(=O)=O
DOXANN01,2.8053,COc1ccc(CC(=O)c2ccc(OC)cc2)cc1
DOXGON,2.4739,CC(C)(C)OC(=O)C(=[N+]=[N-])c1ccc(cc1)N(=O)=O
DOYLIN,3.7385,C1CC2(OC(O1)c1ccccc21)c1ccc(cc1)c1ccccc1
DOZXIA,2.7851,CON=C1C=CC23OCCOC2(OCCO3)C=C1
DUBFOX,2.8902,Fc1ccc(cc1)c1ccnc2c1ccc1c(ccnc21)c1ccc(F)cc1
DUBKOB,3.229,Brc1ccc2c(NC=C2C=O)c1
DUBQAT,4.7389,O1C=CC2C1OC1OC3OC4OC=CC4C3C21
DUBQOH,4.193,CN1CCOCC2=CN(CCCCC1=O)N=N2
DUCSAX,2.7653,CC1=CC(C)(C)Nc2ccc(Cl)cc12
DUCTEB,2.204,Clc1ccc(cc1)c1cc(c2ccc(cc2)N(=O)=O)c2c(ccc3ccccc23)n1
DUCTOL,2.9997,O=C(Nc1ccc(Cc2ccc(NC(=O)c3ccccc3)cc2)cc1)c1ccccc1
DUDPOJ,2.919,Fc1c(F)c(F)c(C#Cc2cccnc2)c(I)c1F
DUDPUP,2.9867,Fc1c(F)c(Br)c(F)c(C#Cc2ccccn2)c1F
DUDQEA,2.939,Fc1cc(Br)c(cc1F)C#Cc1cccnc1
DUGZIP,4.0369,COc1cc(cc(OC)c1O)C12CC3CC(C1)CC(C3)(C2)c1cc(OC)c(O)c(OC)c1
DUHRAB,4.3841,Cc1ccc2c(c1)C1CCCCC1NS2(=O)=O
DUJDAO,1.9226,Cc1ccc2cccc(NC=C3C(=O)C=Cc4ccccc34)c2n1
DUJGUL,2.3209,CC(C)(C)c1cccc(C=Nc2ccccc2N=Cc2cccc(c2O)C(C)(C)C)c1O
DUJPEE,4.1225,COCC1=C(Oc2ccccc2)C(=NN1)O
DUMKON,3.5297,CC1Cc2c(Cl)nc(C)nc2N(C)c2ccc(C)cc12
DUMKUT,4.435,FC(F)(F)C1(CC(c2ccccc2)c2ccccc12)c1ccccc1
DUMLOO,4.2644,FC(F)(F)C1(CC(c2ccc(Cl)cc2)c2ccccc12)c1ccccc1
DUMSUA,2.1302,COc1cc(C=CC=NNC(=O)c2ccncc2)ccc1O
DUMTIP,3.9321,CC(=O)OC1C2C(C)(C)CCC(O)C32COC1(O)C12CC(CC(O)C31)C(=C)C2O
DUNCIZ,4.6305,CC1(C)CCC(O)C23COC(O)(C(O)C12)C12CC(CC(O)C31)C(=C)C2O
DUNDIA,3.4675,O=CN1C2C3N(C=O)C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O
DUNJAY,4.3872,CC(=O)OC1C2C(C)(C)CCC(O)C32COC1(O)C12CC(O)(CCC31)C(=C)C2OC(C)=O
DUPTAL,3.5693,N1C(SC(SC1c1ccccc1)c1ccccc1)c1ccccc1
DUSGAA,3.8115,CCOC(=O)C1C(C(C(=O)OCC)C(C)(O)CC1=O)c1ccccc1
DUSHOP,4.2222,COc1cccc(OC)c1CCCCc1c(OC)cccc1OC
DUSJOR,3.7345,COC(=O)CC1C(C)(C)C2OC34CC2C(=O)C1(C)C3CCC1(C)C4CC(=O)OC1C1=COC=C1
DUSLEJ,3.3751,C#CCOc1ccc(cc1)C1(c2ccc(OCC#C)cc2)c2ccccc2c2ccccc12
DUTFOO,2.7188,CC12CCC3C(CCC4=CC(=O)C=CC34C)C1CCC2C=C
DUTGIJ,2.4166,CCN1c2ccccc2c2cc(ccc12)C=NC1=C(C)C(=NO1)C
DUTHUW,2.9958,Brc1ccc2c(ccc3OC(NC(c4ccccc4)c23)c2ccccc2)c1
DUTJIM,2.4563,CC1C2C(O)C(OC(=O)c3ccccc3)C3(O)C(C)(C)CCCC3(C)C2CC2=C1C=CO2
DUTMUB,2.16,OC12N3CC(=Cc4ccccc4)C(=O)C4(C3)C(C(NC14C(=O)c1ccccc21)c1ccccc1)c1ccccc1
DUTQIT,3.9423,CCOC(=O)C1(C(CC(=O)N1c1ccc(C)cc1)c1ccccc1)C(=O)OCC
DUTREQ,4.0361,OC(=O)c1c(F)cccc1F
DUTWEV,2.0869,Clc1ccc(c2C(=O)c3c(Cl)ccc(c3C(=O)c12)N(=O)=O)N(=O)=O
DUVCON,4.5465,CC1C2CCC3(O)C(C)(C)CCCC3(C)C2CC2=C1C=CO2
DUWCII,3.3785,CC(C)(C)c1ccc2N3CN(Cc2c1)c1ccc(cc1C3)C(C)(C)C
DUWLUD,2.2132,Oc1c(F)c(F)c(I)cc1N(=O)=O
DUXCUV,3.0006,O=C1CCc2cc3ccc4ccccc4c3nc2N1
DUXSAS,2.5342,Fc1c(F)c(F)c2cc3c4ccccc4c4ccccc4c3cc2c1F
DUXVUO,4.1393,CCCCCC1CCCC2CC(=O)OCCN12
DUYGAG,4.4039,CCCC(CCC)(CC(=O)NCCC[N+](C)(C)[O-])C1CCCCC1
DUYGEK,3.1515,C[N+](C)([O-])CCCNC(=O)C(c1ccccc1)c1ccccc1
DUYGIO,3.7986,C[N+](C)([O-])CCCNC(=O)CC(c1ccccc1)c1ccccc1
DUYGOU,4.533,C[N+](C)([O-])CCCNC(=O)CC(C1CCCCC1)C1CCCCC1
DUYHOV,3.5947,CCCCCC(CCCCC)(CC(=O)NCCC[N+](C)(C)[O-])c1ccccc1
